Number,Short Description,AI Generated Category,Confidence Score
"IM1159753","Not able to access https://mportal-uat.intlsos.com/ from some location and some zscalar profile","Network","75"
"null","null","null","null"
"null","null","null","null"
"IM1057672","Tricase CRM : User not able to access link top.my.salesforce.com from today","Access Authentication Failure","85"
"IM1057691","sharepoint access request","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1057965","I need to get access to this please","Access Grant Request","85"
"IM1067291","Pc - compliance- unable to use certain sites and even applications","Security Violation","90"
"null","null","null","null"
"null","null","null","null"
"IM1060222","Company Phone restricted access","Access Authentication Failure","80"
"IM1062718","blaise.avavai@internationalsos.com account has been disabled without any permission from his manager","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1067197","Request for Merary Rubio access to a TICO certification website to take exam an to assist our cardho","Access Grant Request","95"
"IM1117259","Shanghai Site – EC ELP Live Chat Frequent Timeout Caused by Local System Time Sync Failure","Network","85"
"null","null","null","null"
"null","null","null","null"
"IM1067633","Not able to access PostgreSQL in EU","Access Authentication Failure","80"
"IM1104498","spekit -it's either constantly opening a pop up in the new tab or poping the bar on top of my SFDC, ","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1070822","Tanium produces several jobs","Service/Process Failure","90"
"IM1071519","We cannot access the Ops procedure PDF document that is implemented in New Case for client: Signal I","Access Authentication Failure","85"
"null","null","null","null"
"IM1077818","assistance w/ setting up MFA for JIRA/Atlassian app access","Access Grant Request","90"
"null","null","null","null"
"IM1079098","Unable to login into okta admin page , error  access forbidden","Access Authentication Failure","95"
"null","null","null","null"
"IM1066831","Unable to connect Transformer and Cognos through Windows app","Application Function Issue","80"
"null","null","null","null"
"IM1084293","Unable to open OPS Procedures","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1082771","unable to access KIWI collection application","Access Authentication Failure","95"
"IM1089959","User account is disabled unfortunately. need logs why account been disabled.","Access Authentication Failure","85"
"null","null","null","null"
"IM1091609","User unable to access microsoft authenticator for all the applications","Access Authentication Failure","90"
"null","null","null","null"
"IM1136405","We raised an invoice it s not flowing into TM1","Service/Process Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1097441","BITLOCKER - User is asking for the bit locker recovery key to access the system . System Name - MEDI","Security Violation","80"
"IM1101531","RE: No access on Tanium Console","Access Authentication Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1065646","A Japan-issued Visa Platinum cardholder was incorrectly routed via LINE to the Taiwan Visa team inst","Application Function Issue","75"
"IM1124221","URGENT - Latest Group Policy update has disabled menu features in Internet Explorer v11","Service/Process Failure","90"
"null","null","null","null"
"IM1130652","my Teams chat is disabled by Admin","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1130847","Cannot access the new Communication 360 tool","Access Authentication Failure","70"
"IM1094511","camera not working","Hardware","95"
"null","null","null","null"
"IM1132944","Laptop - SGSIN21t6atkOp8 - unable to access company resources - no error message","Access Authentication Failure","85"
"null","null","null","null"
"IM1147013","Salesforce - Unable to access Aspire Salesforce - Getting error as Couldn't Connect to Telephony","Application Function Issue","90"
"null","null","null","null"
"IM1149990","System Access List Required for User Offboarding. Pedro Faleiro Cristo Da Fonseca & Niraj Kriplani","Employee Offboarding","95"
"null","null","null","null"
"null","null","null","null"
"IM1126486","Cannot view SSRT/AHSS correctly","Application Function Issue","80"
"IM1059815","Myself and Phil Moreton do not have admin access with our ADM accounts on a couple laptops","Access Authentication Failure","95"
"null","null","null","null"
"IM1060782","Access denied Quantum TRM","Access Authentication Failure","85"
"null","null","null","null"
"IM1068734","Chrome extensions no longer turned on","Application Function Issue","90"
"null","null","null","null"
"IM1072084","COGNOS Controller not working","Network","80"
"null","null","null","null"
"null","null","null","null"
"IM1060794","Internet access is very slow in Ghana server","Access Authentication Failure","90"
"IM1062843","when the use trying to access all resources, she needs to log in every time. once logged in to her c","null","null"
"null","null","null","null"
"null","null","null","null"
"IM1078974","Distribution list: DL.FRA.MSAS.Quality does not seem to be working anymore.","Application Function Issue","90"
"IM1067451","Request to access client sharepoint","Access Grant Request","85"
"null","null","null","null"
"null","null","null","null"
"IM1067644","Can't access Sitecore STage 10 prod","Application Function Issue","80"
"IM1082862","Error while save.send a GOP","Service/Process Failure","75"
"null","null","null","null"
"IM1068711","Unable to access Cognos","Application Function Issue","70"
"null","null","null","null"
"IM1086133","For more than one week we have issues with calendar synchronization on all Poly devices in PRG","Hardware","65"
"null","null","null","null"
"null","null","null","null"
"IM1070551","Access Issue with Sitecore URL","Access Authentication Failure","95"
"IM1072147","User not able to access Okta platform, getting attached error","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1073808","Unable to access RDP - 10.2.12.89","Access Authentication Failure","85"
"IM1074457","Active Directory - To investigate the account deletion of the shared mailbox - h3s.marketing@interna","Active Directory","90"
"null","null","null","null"
"null","null","null","null"
"IM1075737","Cannot log into Microsoft Copilot...getting message to contact system administrator as my access is ","Access Authentication Failure","80"
"IM1077509","unable to access INCA","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1082016","Im having some issues accessing courses through my AHA","Access Authentication Failure","85"
"IM1110411","Laptop:I need my desktop background updated and changed.","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1082582","Intune portal access : User can not access intune portal getting attached error","Access Authentication Failure","95"
"IM1084746","Zscaler : User facing Zscaler access issue","Access Authentication Failure","90"
"null","null","null","null"
"IM1088189","cannot access to cognos today","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1137317","MNL New Case not working","Application Function Issue","60"
"null","null","null","null"
"IM1100750","multiple alert notifications from the PHL1 SAN switches (usphl1-amer-9148-sansw001 & usphl1-amer-914","Network","85"
"IM1090177","Can't access the O Drive","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1090243","User's kyriba account was blocked, she is unable to access it","Access Authentication Failure","80"
"IM1092015","Verification Message – KakaoTalk Chat Access Issue_나지원","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1093112","When creating a new access in Concierge Bundle, there is no option available to apply for Live Engag","null","null"
"IM1083636","RDP||Unable to connect to RDP","Access Authentication Failure","95"
"null","null","null","null"
"IM1094603","need access to update NOTAMs for clients","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1096099","error accessing OKTA","Application Function Issue","85"
"null","null","null","null"
"IM1071532","SOP from cases which are still as PDF document do not open anymore. Edge SOP working fine as usual","Application Function Issue","80"
"IM1099284","Request your support to check and restore access to the above-mentioned shared path at the earliest.","Access Authentication Failure","85"
"null","null","null","null"
"IM1102449","It seems I don't have access on restoring files. I used have access but now I don't.","Access Authentication Failure","90"
"null","null","null","null"
"IM1103470","Requesting for access to a Google Drive to sachio.sultan@aspirelifestyles.com","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1103541","SPIN & SPINe:I have received login access to connect to SPIN application","Access Authentication Failure","85"
"IM1088203","TKYTOP4MBGP54 was repaired by Dell but now will not pass compliance checks","Hardware","90"
"null","null","null","null"
"IM1104358","Access to Aspire CRM Staging on OKTA My Apps","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1104503","Need access to MS apps","Access Grant Request","90"
"null","null","null","null"
"IM1147278","Unable to connect to Axis Web Service","Application Function Issue","85"
"IM1108097","error when trying to access this site:I should be able to log into this tool but when I go to this l","Application Function Issue","80"
"null","null","null","null"
"IM1111462","Unable to access eco booking portal","Access Authentication Failure","75"
"null","null","null","null"
"null","null","null","null"
"IM1081888","Unable to open Nokia Solutions and Networks Oy operations procedure","Application Function Issue","70"
"IM1079454","Unable to open PDF operation procedures","Application Function Issue","65"
"null","null","null","null"
"null","null","null","null"
"IM1054489","Unable to proceed to payment page in aspire My Booking platform  -- Case number : 03059376","Application Function Issue","95"
"IM1113705","user requested for chat GPT access","Access Grant Request","90"
"null","null","null","null"
"null","null","null","null"
"IM1113913","https://work.weixin.qq.com/  the URL Inaccessible","Network","85"
"IM1118733","URGENT: Unable to access Nexthink","Application Function Issue","90"
"null","null","null","null"
"IM1129138","user cannot attach any files in Teams and also cannot raise an ICARE chat from Teams","Application Function Issue","80"
"null","null","null","null"
"IM1123412","Newcase - unable to access","Access Authentication Failure","75"
"null","null","null","null"
"IM1089163","User reported issue with IM1070401","Application Function Issue","80"
"null","null","null","null"
"IM1128324","Require share points access to thamizharasan.arasan@internationalsos.com & vishwanath.senthil@intern","Access Grant Request","90"
"null","null","null","null"
"IM1128358","Salesforce: Not accessible","Application Function Issue","85"
"null","null","null","null"
"IM1100732","User reported issue with RITM0779099","Application Function Issue","80"
"null","null","null","null"
"IM1128932","Unable to Access https://www.idionline.org/","Application Function Issue","75"
"null","null","null","null"
"IM1116247","User reported issue with RITM0784934","Application Function Issue","80"
"null","null","null","null"
"IM1088324","Wallboard doesn't show MUN waiting queue","Application Function Issue","85"
"null","null","null","null"
"IM1102986","When the IOS needs to run transmission or action me for tasks, my name does not appear on new case","Access Authentication Failure","80"
"null","null","null","null"
"IM1129391","Unable to access Laptop","Access Authentication Failure","90"
"null","null","null","null"
"IM1130367","Aspire Lifestyle Concierge Portal Platform:Unable to access Z-scaler with my account","Access Authentication Failure","95"
"null","null","null","null"
"IM1130613","user facing issue on teams: admin blocked the access","Access Authentication Failure","90"
"null","null","null","null"
"IM1095214","yellow pop up window that says "local instability"","Service/Process Failure","70"
"null","null","null","null"
"IM1121554","Cannot establish gateway connection","Network","85"
"null","null","null","null"
"IM1130720","user teams chat: admin disabled the chat","Access Authentication Failure","95"
"null","null","null","null"
"IM1131264","Unable to access JIRA https://internationalsos.atlassian.net/","Access Authentication Failure","90"
"null","null","null","null"
"IM1132646","Active Directory - Can't login to Spin, Cloudwork, and to other corporate sites","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1136259","Unable to login:Unable to log in to the page - No access","Access Authentication Failure","85"
"IM1139675","Zscaler : Zscaler is blocking access to the website.    Zip recruiter is a business application we u","Application Function Issue","80"
"null","null","null","null"
"IM1143770","Could you grant me access again to https://myportal-stage.internationalsos.com/admin with my account","Access Grant Request","95"
"null","null","null","null"
"null","null","null","null"
"IM1144917","Under LAN connection, can't access","Network","85"
"null","null","null","null"
"IM1136324","Can't search the case number for preparing claims, for me and jennifer.baniqued@aspirelifestyles.com","Application Function Issue","90"
"IM1147052","MS user - need access to OKTA","Access Grant Request","80"
"null","null","null","null"
"null","null","null","null"
"IM1107763","Check Amber light on Fortiswitch PRG1 (KPRG1234)","Hardware","90"
"null","null","null","null"
"IM1065549","Complaint Case","Service/Process Failure","75"
"IM1148082","NewCase: Unable to access LON NewCase: Do not have access","Access Authentication Failure","95"
"null","null","null","null"
"IM1148349","Unable to Access Expedia TAAP Website","Access Authentication Failure","85"
"null","null","null","null"
"IM1092511","Flight Radar webpage is loading with a blank white page","Application Function Issue","90"
"null","null","null","null"
"IM1157180","Management Rate access. Previous month, I can access it. Thank you.","Access Grant Request","75"
"null","null","null","null"
"IM1068058","HeyGen AI video production app","Application Function Issue","60"
"null","null","null","null"
"null","null","null","null"
"IM1158755","Can't open OPUS (Amex) citrix app, but can access to https://wi-tims.gso.aexp.com/Citrix/XenappWeb/","Application Function Issue","85"
"null","null","null","null"
"IM1066876","https://app.circleci.com/organization/bitbucket/internationalsos","Access Authentication Failure","70"
"null","null","null","null"
"IM1094819","Hydra Exception Request","Access Grant Request","90"
"null","null","null","null"
"IM1159968","Google - need access to Google","Access Authentication Failure","60"
"null","null","null","null"
"IM1061323","Invident raised on behalf of JAY SHETE (MedAire) > no SFDC Cases created via web-to-case component","Service/Process Failure","80"
"IM1118732","iQ-THiS Incident","Application Function Issue","75"
"null","null","null","null"
"null","null","null","null"
"IM1087598","Issue with headset setting","Access Authentication Failure","80"
"null","null","null","null"
"IM1053681","Looking to gain access to webpage","Access Grant Request","70"
"null","null","null","null"
"IM1054539","Laura De La Cerda is unable to access Riskman within VDI","Access Authentication Failure","90"
"null","null","null","null"
"IM1055897","My Aspire account (xuxu.lan@aspirelifestyles.com) can access the first page of Reference Point websi","Application Function Issue","85"
"IM1087559","LivePerson Error on Customer side","Service/Process Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1056796","SPIN- Jean Gullion is unable to access Spin after PW update 1/3.","Access Authentication Failure","95"
"IM1056892","Internal access error with ISOS SSO & Pagetiger, "User not assigned to application"","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1057306","I am unable to access this link attached above.","Access Authentication Failure","85"
"null","null","null","null"
"IM1057326","User arunsri.pansuwan is not having access to shared transformers file folder please check urgently","Access Authentication Failure","90"
"null","null","null","null"
"IM1057664","TOP CRM Salesforce : User not able to access https://top.my.salesforce.com/","Access Authentication Failure","95"
"null","null","null","null"
"IM1058517","SPIN- Unable to access SPIN- URL is incorrect","Application Function Issue","80"
"IM1058800","Issues with using Access Code on MyLifeConcierge.net","Access Authentication Failure","85"
"null","null","null","null"
"IM1059369","3rd Party can not access files in ANZ.IRAP\Data Exchange\Files","Access Authentication Failure","75"
"null","null","null","null"
"null","null","null","null"
"IM1059501","MYHR application issue. User not able to access MYHR application","Application Function Issue","90"
"null","null","null","null"
"IM1062700","I cannot access the travel ready portal since Friday.","Access Authentication Failure","80"
"null","null","null","null"
"IM1063586","Delta Tool - Power BI access","Access Authentication Failure","70"
"IM1063877","VDI : User not able to access VDI","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1063984","Elearning|| Unable to access elearning portal via SSO login","Access Authentication Failure","95"
"null","null","null","null"
"IM1064162","User unable access the Jump Server and Solar winds .","Access Authentication Failure","85"
"null","null","null","null"
"IM1092223","Please check who disable this 0 DL.GLB.DS.PASS-CONSULTING.ERRORS <DL.GLB.DS.PASS-CONSULTING.ERRORS@i","Service/Process Failure","90"
"IM1064171","GIT access issue from ADF","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1084192","Power bi issue","Application Function Issue","75"
"null","null","null","null"
"IM1064333","Salesforce Program access","Access Grant Request","85"
"IM1148591","Re: ITSSCLOUD-4934  || External ELB endpoint for InFlight PWA DEV : staging-inflightapp.medaire.com","Access Authentication Failure","80"
"null","null","null","null"
"IM1064730","GIT access issue from ADF  - IM1064171","Access Grant Request","90"
"null","null","null","null"
"IM1065034","camille.belison@internationalsos.com> require access to https://internationalsosms.sharepoint.com/si","Access Authentication Failure","70"
"null","null","null","null"
"IM1066649","Unable to access H DRIVE and Z DRIVE","Hardware","95"
"null","null","null","null"
"IM1140314","Shared Drive: When saving invoices to the Finance shared drive, I'm getting an error saying I need m","Application Function Issue","85"
"null","null","null","null"
"IM1066867","Cognos - User is unable to access IBM cognos","Access Authentication Failure","75"
"null","null","null","null"
"null","null","null","null"
"IM1065280","Since yesterday my Omnissa freezes up on a regular basis","Hardware","90"
"null","null","null","null"
"IM1153060","SNMP devices are not discoverable","Network","80"
"null","null","null","null"
"IM1067042","JIRA - Unable to access JIRA","Service/Process Failure","70"
"null","null","null","null"
"IM1130496","Teams- User having issues with teams unable to send messages getting error"Administrator has disbale","Security Violation","85"
"IM1067052","Need to restore Approver and Admin Access in Power Apps","Access Grant Request","90"
"null","null","null","null"
"IM1067254","CM not able to access the concierge site to book travel","Application Function Issue","75"
"null","null","null","null"
"IM1067736","Unable to access Z drive / FinanceVIP -  IM1044751","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1092772","Unable to connect with global protect Jump server","VPN","95"
"IM1067946","Bigger - Failed to load document using PDF- Unable to access Adobe from Bigger","Application Function Issue","85"
"null","null","null","null"
"null","null","null","null"
"IM1070067","Zscaler Private access doesn't login, it hangs and then kicks back to login screen","Access Authentication Failure","90"
"IM1084415","Unable to send from Flycom","Application Function Issue","80"
"null","null","null","null"
"IM1152040","USB ports on certain PCs are not working, unable to read USB flash drives or USB cords","Hardware","95"
"null","null","null","null"
"null","null","null","null"
"IM1138589","user having issue with apple ID on the corporate mobile","Security Violation","75"
"IM1087629","user is Christelle Fletcher display name changed wants the logs who changed it","Access Authentication Failure","80"
"null","null","null","null"
"IM1070922","Site Monitor - User is unable to access site monitor","Application Function Issue","90"
"null","null","null","null"
"IM1071113","Newcase - Unable to access Newcase - Getting object reference error message","Access Authentication Failure","70"
"null","null","null","null"
"null","null","null","null"
"IM1071932","JNB AC all USERS not able to access the system. unable to access the internet","Network","60"
"IM1075697","User reported issue with RITM0768041 - Ops procedure issue","Service/Process Failure","85"
"null","null","null","null"
"IM1071950","Issue with ServiceNow access","Access Authentication Failure","85"
"null","null","null","null"
"IM1059476","video is not loading","Application Function Issue","90"
"null","null","null","null"
"IM1072643","Request to Restore Access to Remote Desktop "gbldnapp9z2rd93"","Access Grant Request","95"
"null","null","null","null"
"IM1073465","Nice Incontact|| Unable to access Nice for Tricare BU","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1077187","delete disabled account, for example t.luangpumpiput@aspirelifestyles.com","Access Revoke","95"
"IM1078175","not able to access Zscaler","Network","85"
"null","null","null","null"
"null","null","null","null"
"IM1078551","Unable to Access RDP","Access Authentication Failure","90"
"IM1079272","Unable to access nice","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1079277","Unable to access nice application","Access Authentication Failure","80"
"IM1079397","Unable to access Snowstorm from a case. Error say not configured. Please see attached.","Application Function Issue","90"
"null","null","null","null"
"null","null","null","null"
"IM1079398","Unable to access Snowstorm from a case. Error says not configured. Please see attached.","Application Function Issue","90"
"null","null","null","null"
"IM1081509","Unable to access Purge tool and Comms 360","Application Function Issue","70"
"null","null","null","null"
"IM1083103","I cannot access anything on my laptop after logging in","Hardware","60"
"IM1083109","user unable to access with her account ms 365, ms teams and oneDrive","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1083575","Wifi network access troubleshooting for laptop USPHLH3S8CCS2D3","Network","85"
"null","null","null","null"
"IM1061632","Agent Activity Report doesn't show Mr. Yuji Mori","Application Function Issue","90"
"null","null","null","null"
"IM1104828","Ariel used SVC_report.aspiresha to export data from SharePoint, but this afternoon found that it kep","Application Function Issue","80"
"null","null","null","null"
"IM1084263","There is a user who is not able to access Fortinet after upgrading to 7.4.4.1887","Node/Device Down","90"
"null","null","null","null"
"IM1085321","Salesforce Microsoft Edge Extension has been Disabled, Please Turn it on.","Access Authentication Failure","85"
"IM1086101","OneDrive :  User not able to access One drive , user id : Khalid.DUALE@internationalsos.com","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1065157","Auto Verification Error","Application Function Issue","90"
"IM1086742","Azure Database error (america-eus-wus.database.windows.net)","Service/Process Failure","85"
"null","null","null","null"
"null","null","null","null"
"IM1086264","Zscaler : User can not access Zscaler, Teams or any other applications getting attached error","Web Security","75"
"IM1094476","BM is not working. There's no client program listed","Access Authentication Failure","90"
"null","null","null","null"
"null","null","null","null"
"IM1074377","Both Device are HYBID build.","Application Function Issue","80"
"IM1089310","Aiman is working with me to adapt Sales Pad to upload to Sun 6 (NAMS) - please provide her access","Access Grant Request","95"
"null","null","null","null"
"IM1091831","Unable to access concur","Access Authentication Failure","95"
"null","null","null","null"
"IM1092090","MyHR- Unable to access MY HR","Access Authentication Failure","95"
"null","null","null","null"
"IM1092762","LC Eru Sung Unable to Access Snowstorm","Access Authentication Failure","95"
"null","null","null","null"
"IM1093669","No access to OPERATIONS drive","Access Authentication Failure","95"
"null","null","null","null"
"null","null","null","null"
"IM1095193","I need access to past Agent Timelines even when employees aren't clocked in to complete supervision ","Access Authentication Failure","85"
"IM1095742","Phone - User can login into phone but can't access company apps. Error - Last update on 24 march.","Application Function Issue","90"
"null","null","null","null"
"IM1097695","Conway.Arendse@ms.internationalsos.com  : User is not able to access HR BLIZZ","Access Authentication Failure","75"
"null","null","null","null"
"IM1099106","Access to Enhanced Provider Search limited","Access Authentication Failure","80"
"null","null","null","null"
"null","null","null","null"
"IM1099664","[Zsclaer Issue] Unable to log in to Zscaler due to missing application access / AAD assignment.","Access Authentication Failure","95"
"null","null","null","null"
"IM1057949","CM made booking from the apps but there was 2 booking due to the application error","Application Function Issue","85"
"null","null","null","null"
"IM1103050","Unable to access statistics folder on sharepoint","Access Grant Request","90"
"null","null","null","null"
