Number,Short Description,AI Generated Category,Confidence Score
"INC4075720","Most of the time the files in Sharepoint are sync pending and not able to open and use and also old ","Application Function Issue","80"
"INC4075641","Wrong workday ID","Access Authentication Failure","75"
"INC4075550","Couldn't set up work profile while installing teams in Mobile.","Application Function Issue","70"
"INC4075547","Dear Sir/Madam, Would you kindly fix our printer in our office, which is regularly stopping to print","Hardware","85"
"INC4075540","Couldn't access SAP BO and Kofax while doing work from home","Network","80"
"INC4075524","Problem with connecting the screens","Hardware","90"
"INC4075451","User logged out","Access Authentication Failure","70"
"INC4075446","Microsoft 365 Apps for Enterprise Installation","Application Function Issue","85"
"INC4075436","The keys in laptop is not working.","Hardware","95"
"INC4075428","Outlook ask for access to location","Security Violation","60"
"INC4075426","Driver for the printer","Hardware","95"
"INC4075422","Driver for the printer","Hardware","95"
"INC4075421","Driver for the printer on site","Hardware","90"
"INC4075407","The laptop’s default speaker is not working.","Application Function Issue","85"
"INC4075374","Microsoft 365 login not working","Access Authentication Failure","80"
"INC4075350","Employee's name is not transcribed properly in the email","Security Violation","75"
"INC4075332","Software -reg.","Access Grant Request","95"
"INC4075138",""Anydesk" software download permission required for gate pass application.","Password Reset","95"
"INC4075094","password reset for the ace account","null","null"
"INC4075088","user need the recovery key","Password Reset","80"
"INC4074908","Im not receiving email from noreply@sendit.cdsreg.com","Application Function Issue","70"
"INC4074766","Autodesk Forma trial was unintentionally triggered during project setup. Requirement for Forma is ye","Application Function Issue","60"
"INC4074537","Incident REQ2409399 - External collaboration with Microsoft Teams (Teams Federation) [Global] was cl","Service/Process Failure","50"
"INC4074362","Microsoft Excel- Not able to use specific files due to the attached error","Application Function Issue","90"
"INC4074316","Unable to login Kofax Markview","Access Authentication Failure","95"
"INC4074302","Please activate the license for CDGES software in my PC which is installed newly.","Access Grant Request","90"
"INC4074236","Outlook issue - Not working correctly","Application Function Issue","85"
"INC4074224","Unable to install CDGES software in my PC","Access Grant Request","80"
"INC4074222","In 10th floor hp plotter not connecting","Hardware","90"
"INC4074187","Unable to download ZIP file","Application Function Issue","75"
"INC4074177","I requested to download a software and it was approved but the software is not installed yet. Reques","Access Grant Request","80"
"INC4074162","connection to printer in Hinkley Point office-1st message send on 14/04","Hardware","70"
"INC4074095","Elmaster does not work, a message will appear about missing server","Application Function Issue","90"
"INC4074060","Bluescreen error","Service/Process Failure","85"
"INC4074029","Need to add 4th floor printer","Hardware","75"
"INC4074027","cymcap software is not working","Application Function Issue","95"
"INC4073989","TEAMS Add ins not working for Meeting invites","Application Function Issue","90"
"INC4073969","laptop delete button does not work","Hardware","95"
"INC4073956","CDEGS software is not working","Application Function Issue","85"
"INC4073831","MFA reset- Unable to access MFA where changed the phone and don't have the old phone","Password Reset","80"
"INC4073704","I need Microsoft Project installed on my PC","Access Grant Request","75"
"INC4073633","need to add Printer 3rd floor","Hardware","90"
"INC4073629","Printer need to add 3rd  floor","Hardware","90"
"INC4073619","Need to 3rd floor printer","Hardware","80"
"INC4073537","OS disk fill notification came. Need support to remove un used document links and apps from laptop.","Application Function Issue","70"
"INC4073513","User needs the new version of application","Application Function Issue","85"
"INC4073472","Unlock request for email id","Access Grant Request","90"
"INC4073362","Bit locker Recovery","Security Violation","75"
"INC4073200","Unable to save file to internal Sharepoint","Service/Process Failure","80"
"INC4073189","Share point syncing issue","Service/Process Failure","85"
"INC4073128","headphone is not working properly","Hardware","95"
"INC4073093","Installed Think-cell, asking for License key","Access Grant Request","85"
"INC4073081","Autocad Raster installation not done","Application Function Issue","90"
"INC4073047","unable to access system","Access Authentication Failure","90"
"INC4072863","My APP account is expiring","Application Function Issue","80"
"INC4072668","My INS account has been locked. SHARP28INS","Access Authentication Failure","95"
"INC4072534","The Teams and outlook application keeps on closing and opening","Application Function Issue","90"
"INC4072521","Zscaler Private Access - Service Status is disabled","Service/Process Failure","95"
"INC4072424","CDEGS license key is not working","Application Function Issue","90"
"INC4072361","New Joiner / Mobile is not on Teams","Employee Onboarding","85"
"INC4072294","Ghost call","Security Violation","80"
"INC4072066","Vulnerable Software  Removal Required - .net - 6.0.14.0","Security Violation","80"
"INC4072031","INCHE1704789: I reimaged the device four days ago; however, I am currently unable to elevate privile","Hardware","75"
"INC4071835","Vulnerable Software  Removal Required - .net - 6.0.14.0","Security Violation","95"
"INC4071833","Monitor issue","Hardware","90"
"INC4071795","Needs to change the time in the system","Application Function Issue","85"
"INC4071788","My INS account is locked","Access Authentication Failure","95"
"INC4071721","Not hearing voice in Head Set","Hardware","90"
"INC4071699","Few Keys are not working and down arrow key stuck issue.","Hardware","90"
"INC4071670","Account Lockout","Access Authentication Failure","95"
"INC4071646","Kofax login issue","Application Function Issue","80"
"INC4071589","Lagging computer & Windows button not responding","Hardware","85"
"INC4071571","Blue Screen Error","Application Function Issue","80"
"INC4071503","Need to configure the printer at 3rd floor for my laptop","Hardware","75"
"INC4071485","At my Desk ,Desktop connections are not working","Hardware","90"
"INC4071483","Password reset for Monica","Password Reset","95"
"INC4071476",""Delete" key not working properly for my laptop","Hardware","80"
"INC4071429","ETAP is not working","Application Function Issue","70"
"INC4071310","my hr","Security Violation","60"
"INC4071115","Linxon Phoenix Printer driver install","Hardware","90"
"INC4071016","Need assistance downloading the Linxon Apps to my new activated phone","Access Grant Request","85"
"INC4070901","Oracle won't let me sign in to submit timesheets","Access Authentication Failure","95"
"INC4070815","MS TEAMS ERROR","Application Function Issue","80"
"INC4070587","USB-C connection ports on laptop are not functioning","Hardware","95"
"INC4070487","Issue accessing Microsoft project","Access Authentication Failure","85"
"INC4070461","can not log on to PC","Access Authentication Failure","90"
"INC4070438","i want to uninstall ETABS software of Atkin's and needs to be reinstalled the same ETABS software fo","Application Function Issue","95"
"INC4070427","Need to reset the password as the password not working","Password Reset","90"
"INC4070416","I can't connect to the printer within the office, in Raleigh, NC USA","Hardware","85"
"INC4070147","Printer not working, appears to be offline","Hardware","80"
"INC4070091","logged into a teams all. can't hear anyone and also can't open my video.","Application Function Issue","85"
"INC4070080","I do not have access to Concur Expense","Access Authentication Failure","95"
"INC4070072","Safe License usage tool failed to install, please do the needful","Application Function Issue","90"
"INC4070045","C Type ports not working","Hardware","85"
"INC4069990","PIN and face id not working for my laptop, only able to sign in using Password","Hardware","80"
"INC4069984","Web Cam Not Working","Hardware","90"
"INC4069947","Unable to access the external clients chat in the teams channel","Application Function Issue","85"
"INC4069915","unable to access  external device","Network","80"
"INC4069909","SAFE software installation issue","Application Function Issue","75"
"INC4069688","Unable to update Oracle files in Excel","Application Function Issue","70"
"INC4069610","Unable to login","Access Authentication Failure","85"
"INC4069600","Unable to connect to the monitors","Hardware","90"
"INC4069493","Send This File will not open","Application Function Issue","70"
"INC4069388","Unable to connect to office printer","Hardware","85"
"INC4069171","Require credential for CITRIX and BATCHMANAGER","Access Authentication Failure","80"
"INC4069155","Password reset for learning portal and domain","Password Reset","100"
"INC4069154","Password reset and account unblock","Password Reset","100"
"INC4069111","Unable to access Outlook, Account disabled","Access Authentication Failure","100"
"INC4069096","SLI Account has been disabled","Access Authentication Failure","100"
"INC4069051","Mobile change Login Authenticator issue","Access Authentication Failure","80"
"INC4069047","Not able access the shared folder","Application Function Issue","80"
"INC4069022","Unable to connect with 3rd party companies (Linxon direct suppliers/Sub-contractors) whereas earlier","Network","85"
"INC4068950","Unable to login CITRIX","Access Authentication Failure","90"
"INC4068907","Need to change the monitor place (Seat) from 346 to 347","Hardware","95"
"INC4068862","PC Locked out","Access Authentication Failure","90"
"INC4068814","CDEGS - Sentinel Keys","Security Violation","80"
"INC4068755","powerfactory not working","Application Function Issue","90"
"INC4068712","FOXIT PDF application password prompt","Password Reset","95"
"INC4068581","Unable to connect to printer","Hardware","80"
"INC4068573","Foxit not working","Application Function Issue","75"
"INC4068458","I am unable to create connection with Oracle EBS to upload JEs","Application Function Issue","85"
"INC4068398","Unable to print PDF documents, Foxit stops responding","Service/Process Failure","90"
"INC4068344","set up Z: Drive","Access Grant Request","95"
"INC4068333","Unable to login","Access Authentication Failure","90"
"INC4068023","CE+ Vulnerable Software Upgrade or Removal Required -Altiris Inventory Agent - 8.1.6288.0","Security Violation","95"
"INC4068015","Unable to access mapped network drives on new machine","Access Authentication Failure","95"
"INC4068000","CE+ Vulnerable Software Upgrade or Removal Required -Altiris Inventory Agent - 8.1.6288.0","Security Violation","90"
"INC4067892","Laptop speaker is not working","Hardware","90"
"INC4067864","Unable to login workday","Access Authentication Failure","95"
"INC4067660","Account lockout","Access Authentication Failure","95"
"INC4067525","New hire login issue | password issue","Employee Onboarding","85"
"INC4067356","Unable to login Microsoft Teams, outlook.","Access Authentication Failure","95"
"INC4067264","Line Manager Name Change for Timesheet Leave Approval","Access Grant Request","90"
"INC4067258","Need to add printer","Hardware","85"
"INC4067198","Kindly enable AgcCls concurrent license access through Windows Defender Firewall","Access Grant Request","80"
"INC4067120","Timesheet booking","Application Function Issue","75"
"INC4067087","Need to install foxit because it is not working","Hardware","95"
"INC4067017","Account lock","Access Authentication Failure","95"
"INC4067013","Employee locked out from her account","Access Authentication Failure","95"
"INC4066999","DESKTOP C CABLE NOT WORKING","Hardware","95"
"INC4066997","Need mark view access for new user","Access Grant Request","95"
"INC4066845","Think cell is in the software center but not activated in Power Point.","Application Function Issue","85"
"INC4066822","LAN is not working","Network","90"
"INC4066820","Need to add printer in my device","Hardware","90"
"INC4066621","Need to access workday training","Access Authentication Failure","80"
"INC4066508","Unable to login to user account as that says locked MORRP8","Password Reset","75"
"INC4066384","external monitor not connecting","Hardware","90"
"INC4066364","I need access to Americas@linxon.com for IEEE bounce emails etc.","Access Authentication Failure","85"
"INC4066310","Download Blockage","Access Grant Request","90"
"INC4066299","Unable to access Americas.linxon.com even after approval","Access Authentication Failure","75"
"INC4066242","Not able to send TEAMS meeting request","Application Function Issue","95"
"INC4066140","Please give me Copilot Pro","Access Grant Request","80"
"INC4066021","Zscaler Issue","Network","85"
"INC4065911","Unable to install ETAP software","Application Function Issue","90"
"INC4065798","Mouse is not working","Hardware","95"
"INC4065594","Need to sync onedrive","Access Revoke","95"
"INC4065593","With Reference to Incident RITM5504342 - ACC Member License has been revoked","Application Function Issue","85"
"INC4065551","Pop-Up Blocker","Hardware","90"
"INC4065525","System restart issue","Network","80"
"INC4065484","Headphones not working","Hardware","90"
"INC4065465","Dialux evo pro installation","Application Function Issue","85"
"INC4065269","Account Lockout","Access Authentication Failure","95"
"INC4065071","issue with mobile apps connectivity","Network","80"
"INC4065054","User is facing issue in checking the connectivity check on mobile device.","Network","80"
"INC4064841","User account is locked unable to login to the machine.","Access Authentication Failure","90"
"INC4064676","License request for FebDok","Access Grant Request","85"
"INC4064664","One Drive Sync Issues","Application Function Issue","75"
"INC4064631","Unable to login teams and outlook in Mobile","Access Authentication Failure","95"
"INC4064597","Client Portal Access","Access Grant Request","70"
"INC4064573","delay in opining excel files","Service/Process Failure","60"
"INC4064568","VAT Return Saudi issue","Security Violation","50"
"INC4064490","Time Sheet not moving to his Line Manager for approval","Application Function Issue","95"
"INC4064454","I cannot use my Foxit PDF Editor","Application Function Issue","95"
"INC4064444","OneDrive isn't connected so the files are not opening in the system","Access Authentication Failure","85"
"INC4064352","I need access Kheops","Access Grant Request","90"
"INC4064255","Microsoft Teams - Unable to chat with people outside the organization and they are unable to chat wi","Application Function Issue","90"
"INC4064254","Mouse Not Working","Hardware","95"
"INC4064153","Microsoft authenticator app not working, please help to reset so i can use teams and outllook on mob","Password Reset","95"
"INC4064045","Access to Linxon@americas.com","Access Grant Request","85"
"INC4064040","Account Needs to be Re-Enabled - MORRP8","Access Authentication Failure","90"
"INC4063934","office timeline pro log in issue - screenshot attached","Application Function Issue","80"
"INC4063864","User account has been disabled","Access Authentication Failure","95"
"INC4063634","Microsoft Authenticator - Reset","Password Reset","95"
"INC4063625","When I try to open and edit a Visio file, the system does not allow me to do so, and I receive an er","Application Function Issue","85"
"INC4063528","when I open outlook to draft  new mail or open any old mails","Application Function Issue","75"
"INC4063483","User need to refill the ink in office Printer","Hardware","90"
"INC4063465","Printer configuration for 3rd floor in my laptop","Hardware","80"
"INC4063434","Unable to extend monitors","Hardware","95"
"INC4063294","with reference to the incident INC4049795, still i am facing an issue to reach out the to AS design ","Application Function Issue","80"
"INC4063288","Can not log onto Oracle","Access Authentication Failure","90"
"INC4063025","Outlook not working properly","Application Function Issue","85"
"INC4062910","New pop of uniFlow Oline","Application Function Issue","75"
"INC4062847","Issues with multiple monitors","Hardware","95"
"INC4062821","mouse not working","Network","85"
"INC4062764","WIFI devices are not working at INFAR1 location","null","null"
"INC4062760","V3I recently changed my name in Outlook. After that, I am unable to book timesheets. And this error ","Application Function Issue","85"
"INC4062734","Unable to run macro file in Excel","Application Function Issue","90"
"INC4062714","Mouse not working","Hardware","95"
"INC4062653","Type C cable not working to extend the monitor","Hardware","90"
"INC4062390","My service account svc_analytics@atkinsrealis.com has been deactivated suddenly","Service/Process Failure","80"
"INC4062339","Workday not working","Service/Process Failure","85"
"INC4062276","Account due to be disabled","Access Revoke","95"
"INC4061904","PowerPoint won't open my power point files - files open on other computers -software has issues","Application Function Issue","90"
"INC4061849","I can't update my time sheet (Zscaler Authentication Required). I can't receive any indication email","Access Authentication Failure","85"
"INC4061828","Admin approval for using Microsoft office Time line","Access Grant Request","80"
"INC4061735","Authentication app not working my mobile","Access Authentication Failure","90"
"INC4061496","2026 objectives appearing under "Other" category on workday","Application Function Issue","85"
"INC4061436","SAP BO Access","Access Authentication Failure","70"
"INC4061288","Macros enabling","Application Function Issue","80"
"INC4061276","Timesheet Approval - Reg.","Access Grant Request","90"
"INC4061174","REQ2400057 says completed but the website is still not opening","Application Function Issue","95"
"INC4060923","Email address added to Linxon's SharePoint","Access Authentication Failure","65"
"INC4060847","Unable to open oracle reports","Application Function Issue","90"
"INC4060456","just need to confirm all working ok.","Service/Process Failure","50"
"INC4060273","I need a docusign access","Access Authentication Failure","85"
"INC4060145","Camera is "blocked" during video calls","Application Function Issue","90"
"INC4060047","Unable to send text message to external User","Application Function Issue","80"
"INC4059948","Photo Moved to Archive","Application Function Issue","75"
"INC4059946","System is not working properly, restart on every log in attemp","Hardware","95"
"INC4059926","Laptop Adapter Issue","Hardware","90"
"INC4059863","Unable to call or chat with externals thru Teams","Application Function Issue","85"
"INC4059795","Admin password prompt while opening FOXIT PDF","Password Reset","85"
"INC4059417","Access to contact external parties through Teams is locked.","Access Authentication Failure","90"
"INC4059184","** Urgent Email migration completed, but old mailbox access removed before new americas@linxon.com a","Access Revoke","75"
"INC4059098","To reimage OS","Hardware","80"
"INC4058956","Not able to chat with external persons otherthan Linxon.My lead engineer is consultant not able to p","Access Authentication Failure","85"
"INC4058805","Voiso for international supplier calls","Application Function Issue","80"
"INC4058735","Unable chat with external users","Application Function Issue","85"
"INC4058592","laptop display does not extend to External Monitor","Hardware","90"
"INC4058566","Laptop speaker and mic is not working","Hardware","95"
"INC4058564","MS Outlook Hangs frequently","Service/Process Failure","85"
"INC4058556","Authentication Issue","Access Authentication Failure","90"
"INC4058540","Teams app issue in my mobile.","Application Function Issue","80"
"INC4058090","Hello, I am trying to open documents in Projectwise wish are in Adobe Acrobat, but I am unable to be","Application Function Issue","85"
"INC4058025","Printer is not working -1st message send on 27/03","Hardware","90"
"INC4057993","Federation Link on Microsoft Teams","Application Function Issue","75"
"INC4057939","Issue with AP Concepts WinIGS 8 (8.1.6) - GLOBAL // STANDALONE to install","Application Function Issue","80"
"INC4057644","No sound from headphones both wireless and plugged in","Hardware","95"
"INC4057565","Printer within office is faulty and no one in the office are able to connect and print","Hardware","95"
"INC4057538","Required Access to use the Common Email ID: globalt&e@linxon.com","Access Authentication Failure","85"
"INC4057473","Chrome application Need","Application Function Issue","70"
"INC4057463","URGENT Peter Zmidzinski PC does not work Asset number 603016 - SN: 5CG215VH6","Hardware","90"
"INC4057450","printer doesn't work","Hardware","90"
"INC4057222","user called for BitLocker recovery key","Password Reset","80"
"INC4057150","MS Teams not working for External companies","Application Function Issue","90"
"INC4057139","Laptop Charger not working","Hardware","85"
"INC4056554","Unable to connect to HPC site office printer.","Network","80"
"INC4056479","unable to access outlook","Access Authentication Failure","75"
"INC4056313","Unable to connect to Kheops","Node/Device Down","70"
"INC4056307","Vulnerable Software Upgrade or Removal Required -7-zip - 23.01.0.0","Security Violation","95"
"INC4056291","How to order read only access to a SharePoint? See link below","Access Grant Request","85"
"INC4056282","New joinee-Login for first time","Employee Onboarding","95"
"INC4056260","I did not get the ORACLE password. Request to provide","Access Authentication Failure","85"
"INC4056124","Account locked- Need assistance in unlocking","Access Authentication Failure","80"
"INC4056069","Error message when trying to logon onto Oracle for the first time","Access Authentication Failure","75"
"INC4056044","Foxit do not work, cant open PDF's","Application Function Issue","90"
"INC4056024","Zscalar not connected","Application Function Issue","85"
"INC4055947","REQ2390394 - Closed but don't get access","Access Grant Request","70"
"INC4055898","Getting WebADI error while posting SLA into Oracle","Application Function Issue","95"
"INC4055897","Getting a WEB ADI error while posting SLA into Oracle","Application Function Issue","95"
"INC4055886","Unable to post the SLA due to Error message " Microsoft Visual Basic","Application Function Issue","85"
"INC4055507","**Urgent change on email address northamerica@linxon.com to americas@linxon.com.","Access Grant Request","90"
"INC4055172","Unable to connect with 3rd party companies (Linxon direct suppliers/Sub-contractors) whereas earlier","Network","70"
"INC4055149","Laptop UP arrow Key is Not working","Hardware","90"
"INC4055122","NWC Exporter not available in my computer","Application Function Issue","85"
"INC4055027","Need to add 3rd floor printer","Hardware","95"
"INC4055026","Printer Installation","Hardware","90"
"INC4054935","outlook error","Application Function Issue","80"
"INC4054910","CYME CAP Tool – Login error encountered","Access Authentication Failure","85"
"INC4054856","Please change my mobile number to +91 6364515007 on IT Entra ID.","Access Grant Request","95"
"INC4054775","Outlook is not loading-1st message send on 26/03","Application Function Issue","85"
"INC4054724","Set up work apps","Application Function Issue","80"
"INC4054719","User need help with the MFA setup","Access Authentication Failure","70"
"INC4054418","head phones not working","Hardware","90"
"INC4054381","Software is not working-Dialux evo","Application Function Issue","85"
"INC4054333","REQ2393034 was raised. But I have already informed that I have the license and should not be charged","Service/Process Failure","60"
"INC4054267","Revenue auto generated - 666609 (US Entity)","Access Grant Request","50"
"INC4054134","Emails are not updating in the Sent items folder while sending from project shared mailbox","Application Function Issue","85"
"INC4054080","Vasteras - Connecting one or two monitors to my computer has stopped working.","Hardware","90"
"INC4054013","Good afternoon, would someone assist me in providing me with more memory installed in my Laptop, so ","Hardware","75"
"INC4054009","USB and port issue with laptop","Hardware","80"
"INC4053817","Teams issues","Service/Process Failure","70"
"INC4053809","user need the password reset for the account","Password Reset","100"
"INC4053770","My weekly oracle timesheet approval issue","Access Grant Request","100"
"INC4053764","Log In to Markview platform does not work. For Oracle Simple Sing On is working, so the Oracle PW is","Access Authentication Failure","80"
"INC4053751","user require recovery key","Password Reset","100"
"INC4053671","unable to connect with extended monitors","Hardware","80"
"INC4053670","I've forgot my password.","Password Reset","100"
"INC4053645","Monitor not support with laptop additional screen not working","Hardware","85"
"INC4053407","Missing License Number for ETAP","Security Violation","75"
"INC4053186","User is having issue in activating the CDEGS as its Not Working","Application Function Issue","90"
"INC4053127","Navisworks Manage 2026 installation issue","Application Function Issue","80"
"INC4053124","Vulnerable Software Upgrade or Removal Required -firefox- 129.0.0.0","Security Violation","90"
"INC4052906","Password Reset","Password Reset","100"
"INC4052800","Litera Compare 11 - license query","Access Authentication Failure","70"
"INC4052717","Need to replace the Printer Tonell","Hardware","90"
"INC4052664","Additional Monitor screen fluctuates in between. In my opinion, it is because of the docking station","Hardware","80"
"INC4052569","CivilSTORM Connect Install Error","Application Function Issue","95"
"INC4052568","Permission to folder in SharePoint","Access Authentication Failure","85"
"INC4051639","NEED TO ADD PLOTTER","Hardware","95"
"INC4051622","My power automate flow stopped. All Copilot Credits and AI Builder credits in this environment have ","Service/Process Failure","90"
"INC4051580","Need software (All Pile) installed","Application Function Issue","80"
"INC4051566","I Could not install Revit 2023 & 2024.","Application Function Issue","90"
"INC4051490","Need to add printer","Hardware","70"
"INC4051417","I am unable to send messages or place calls to external domain contacts","Network","60"
"INC4051259","User getting diable account mail.","Access Authentication Failure","50"
"INC4051181","Teams chat is not working to coordinate with FAEC(4A design) consultant for Amiral project(Oracle co","Service/Process Failure","70"
"INC4051124","Install JAVA to laptop No. SEVAS4603144 to run an oracle application.","Hardware","90"
"INC4051090","Mobile Intune Company policy not updating","Application Function Issue","85"
"INC4051035","Continuous pop up message receiving as it displays device running low on disk space","Hardware","95"
"INC4051026","Mic Damage","Hardware","95"
"INC4051004","Head set Not Working During Call","Application Function Issue","80"
"INC4050967","Please disable AI assistant in MS teams of my account.","Access Revoke","70"
"INC4050914","one drive did not sync","Service/Process Failure","85"
"INC4050908","Need bit locker recovery key","Password Reset","85"
"INC4050408","Are not allowed to send email","Access Authentication Failure","80"
"INC4050331","Outlook Error","Application Function Issue","75"
"INC4050142","User need to know TASK2566874 information","Service/Process Failure","70"
"INC4050137","Mandatory trainings missing in Workday","Access Grant Request","65"
"INC4050031","FAO : Unified Communications, assistance with external user access to Sharepoint site","Access Authentication Failure","70"
"INC4049991","Disabling of account, received email notification stating that my account had not been accessed sinc","Access Revoke","95"
"INC4049926","Access to Keops denied","Access Authentication Failure","85"
"INC4049897","Workday display is with Arabic, need to change to English","Application Function Issue","90"
"INC4049870","User has lost the Work Phone.","Hardware","70"
"INC4049795","Unable to connect with 3rd party companies (Linxon direct suppliers/Sub-contractors) whereas earlier","Service/Process Failure","80"
"INC4049790","Vasteras - Laptop heating up and holt.","Hardware","95"
"INC4049771","Autodesk Recap not opening","Application Function Issue","90"
"INC4049720","I am unable to send messages or place calls to external domain contacts","Network","85"
"INC4049715","Teams and Sharepoint is not sync.","Service/Process Failure","90"
"INC4049646","Laptop keys are not working","Hardware","95"
"INC4049579","printer is stating it has a functional error and requires a service","Hardware","90"
"INC4049465","User Asking for uniflow PIN number","Access Grant Request","80"
"INC4049453","Gemalto Sentinel HASP LDK 9.16 (9.16.25048) - GLOBAL usage requirement","Application Function Issue","85"
"INC4049437","Unable to activate PSSE license","Access Authentication Failure","90"
"INC4049426","Authenticator  app not working,please reset for MFA and adding new number","Password Reset","80"
"INC4049424","the employee is unable to submit his timesheets","Application Function Issue","75"
"INC4049421","My Poly headphone is not working.","Hardware","95"
"INC4049407","Unable to connect in Teams from External (Outgoing and Incoming)","Network","85"
"INC4049383","My laptop display is blank previously and now display brightness is very low.","Hardware","85"
"INC4049248","Unable to sign in account inside the machine,","Access Authentication Failure","75"
"INC4049124","Workday display is with Arabic, need to change to English","Application Function Issue","90"
"INC4049058","Laptop audio issue i.e. on MS Teams","Hardware","80"
"INC4048807","Teams does not allow to chat will people outside the organisation. I need permission to chat and sha","Access Grant Request","80"
"INC4048587","Revenue value is showing as in the report as in Agreement screen, for the project 678737","Application Function Issue","85"
"INC4048355","i need macros enabled for primtech","Access Grant Request","90"
"INC4048217","My mouse is not working properly","Hardware","95"
"INC4048190","issue with onedrive in my new machine","Application Function Issue","80"
"INC4048156","UNABLE TO DOWN LOAD FILERS FROM CLOUD","Service/Process Failure","85"
"INC4048140","Unable to communicate with Suppliers through Teams","Network","75"
"INC4048112","MS TEAMS not working with external parties","Application Function Issue","85"
"INC4048073","Unable to access PSCAD application","Application Function Issue","90"
"INC4048058","Second Monitor is not connecting, Urgent Request, Please support me","Hardware","95"
"INC4048020","I raised a ticket last month for SAP BO access but when I tried to get data from that platform it di","Application Function Issue","75"
"INC4048012","Key pad ( DELETE Button is having major issue)","Hardware","90"
"INC4047961","Printing Issue","Service/Process Failure","80"
"INC4047954","IT SSC - Specific request or Question - NAC50058","Access Authentication Failure","80"
"INC4047926","I lost my access to printer","Access Grant Request","90"
"INC4047851","Smartview is not starting anymore","Application Function Issue","95"
"INC4047822","Concur in mobile does not connect","Application Function Issue","90"
"INC4047573","Request for Docusign","Access Grant Request","95"
